study_cluster_id,D_axis_id,context_id,pre_outcome_domain_code,separating_coordinate,defence_modality,antagonist_guild,pollinator_guild,observational_or_experimental,architecture_basis_path
Catalpa_1982,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,SEPARATED,susceptibility,chemical,nectar_thieves,legitimate_bees,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Pedicularis_2015,water_filled_bract,seed_predator_vs_robber_pollinator,SEPARATED,attack_route,physical,seed_predators_and_nectar_robbers,bumblebee_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,SEPARATED,functional_mode,physical,nectar_robbing_mode,Bombus_breviceps,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Codonopsis_2021,slippery_wax_surface,ants_vs_hornet_pollinator,SEPARATED,geometry,physical,nectar_thieving_ants,hornet_pollinator,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Chrysothemis_2007,water_calyx,preanthesis_moth_vs_postanthesis_pollination,SEPARATED,time,physical,preanthesis_specialist_moth,postanthesis_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Bejaria_2022,floral_stickiness,florivores_vs_insect_mutualists,OVERLAPPED,geometry,physical,insect_florivores,insect_mutualists,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Polemonium_2011,2PE_chemical,moderate_vs_high_dose,TRANSITIONAL,dose,chemical,floral_antagonists,legitimate_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Aconitum_2017,nectar_alkaloids,robber_vs_legitimate_pollinator_dose,TRANSITIONAL,dose,chemical,nectar_robber,Bombus_hortorum,mixed,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Asclepias_program,cardenolides,single_bout_vs_extended_exposure,TRANSITIONAL,cumulative_exposure,chemical,floral_antagonist_context,bee_pollinators,mixed,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Gelsemium_program,gelsemine,robber_and_pollinators_high_dose,OVERLAPPED,dose,chemical,nectar_robbers,legitimate_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Nicotiana_2007,nectar_repellent,pollinator_response_stage,TRANSITIONAL,response_stage,chemical,nectar_thieves,legitimate_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
Salvia_boundary,calyx_barrier_candidate,nectar_robber_bypass,BYPASS_TOLERANCE,attack_route,physical,nectar_robber,legitimate_pollinators,mixed,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv
