study_id,year,doi,fauna,plant_scope,study_scale,access_predictor,robbery_outcome,direction,effect_detail,network_k_eligible,reason_not_k,source_role,notes
Lara_Ornelas_2001,2001,10.1007/s004420100640,Aves,"3 natural plant species + artificial arrays",behavioral_experiment,"corolla length relative to similar-billed hummingbirds","robbery versus legitimate extraction",POSITIVE,"Two hummingbird species were more likely to rob artificial and natural long-corolla flowers; short-corolla Salvia were not robbed.",NO,"Only 3 natural plant species; not the frozen >=5-plant visitor×plant network.",DIRECT_SUPPORT,"Direct experimental manipulation plus natural flowers."
Urcelay_Morales_Chalcoff_2006,2006,,Insecta,"1 plant species; 2 populations",population_observational,"corolla length","robbed-flower frequency and holes per corolla",POSITIVE,"Across 40 plants, corolla length vs robbing frequency r2=0.19 p=0.005; length vs holes/corolla r2=0.15 p=0.014. Within-population support was confined to the longer-corolla population.",NO,"One plant species and one focal robber system.",DIRECT_SUPPORT,"Campsidium valdivianum; Bombus dahlbomii. Context dependence retained."
Navarro_Medel_2009,2009,10.1111/j.1095-8312.2008.01146.x,Insecta,"1 plant species; 1 population",flower_and_plant_observational,"flower length and diameter","probability flower was robbed",POSITIVE,"Robbery affected up to 44% of flowers; probability of robbery increased with flower length and diameter.",NO,"One plant species and no multispecies visitor×plant network.",DIRECT_SUPPORT,"Duranta erecta; Xylocopa cubaecola."
Geerts_Pauw_2009,2009,10.1016/j.sajb.2009.08.001,Aves,"13 bird-pollinated plant species",community_observational,"floral tube length relative to short- versus long-billed sunbird guilds","legitimate versus robbery use and punctured-flower rate",POSITIVE,"Across 1669 bird–plant interactions, short-billed sunbirds often robbed long-tubed species; tube length differed strongly between species robbed versus pollinated by short-billed sunbirds (reported p<0.005).",NO,"Only 3 nectar-feeding bird species and no frozen >=5-visitor pair-level mismatch network.",DIRECT_SUPPORT,"Community-scale direct route evidence; territorial Malachite Sunbirds also reduced robbery at long-tubed plants."
Lazaro_Vignolo_Santamaria_2015,2015,10.1007/s10682-014-9736-5,Insecta,"1 plant species; 3 populations",population_observational,"corolla tube length with nectar volume and lip size covariates","flower robbery frequency",POSITIVE,"Partial effect of corolla length on robbery frequency estimate=0.175±0.030; likelihood-ratio chi2=32.99; p<0.0001. Nectar volume and lip size reduced robbery after accounting for length.",NO,"One plant species; access effect is population/individual-level rather than a multispecies network.",DIRECT_SUPPORT,"Lonicera implexa; explicitly shows access geometry is modified by reward/access context."
RojasNossa_Sanchez_Navarro_2016,2016,10.1111/oik.02685,"Insecta + Aves","88 plant species across 4 communities",multi_community_observational,"flower length and other protection/access traits","proportion of flowers robbed",POSITIVE,"Mediterranean, Alpine, Antillean and Andean communities; long flowers were more likely to be robbed by insects and birds, while long calyxes/bracts and aggregation were associated with lower robbery. Reward density also contributed.",NO,"Plant-level trait analysis lacks the frozen visitor×plant mechanical mismatch variable and pair-level route balance.",DIRECT_SUPPORT,"Large community-level supporting dataset; source data DOI 10.5061/dryad.5s06n."
CutaPineda_AriasSosa_Pelayo_2021,2021,10.1186/s40657-021-00256-7,Aves,"16 ornithophilic plant species; 4 flowerpiercer species",community_observational,"effective corolla length","species-level nectar-robbing frequency",POSITIVE,"Effective corolla length correlated positively with robbery frequency (Pearson r=0.56, p<0.05); nectar volume r=0.79, p<0.001.",NO,"Only 4 flowerpiercer species and response is plant-species robbery frequency rather than frozen visitor×plant mismatch units.",DIRECT_SUPPORT,"Direct Andean community test with 0–100% robbery across plants."
Tie_et_al_2023,2023,10.1016/j.pld.2022.11.002,Insecta,"1 plant species; 1 population",individual_plant_observational,"corolla tube length","individual-plant nectar-robbing intensity",POSITIVE,"Primary robber Bombus nobilis preferred long-tubed plants; shorter-tubed plants had lower robbery intensity and more legitimate visitation.",NO,"One plant species; individual-plant rather than multispecies network estimand.",DIRECT_SUPPORT,"Caryopteris divaricata."
Valdivia_Orellana_Gantz_2025,2025,10.15381/rpb.v32i3.30866,"Insecta + Aves","1 plant species; 12 plants / 371 flowers",flower_observational,"corolla length and entrance width","small and large robbery perforations",NULL,"6.7% of flowers had small holes and 14.8% large holes; corolla length was not significantly associated with either perforation type.",NO,"One plant species and no multispecies mismatch network.",DIRECT_NULL,"Independent Chilean Campsidium study; retained because it directly tests and fails the length prediction."
Navarro_Gomez_2026,2026,10.1007/s10265-026-01722-3,"Insecta + Aves","1 invasive plant species; 94 plants",flower_mixed_model,"corolla tube length and diameter","robbery probability and 0–5-hole intensity",POSITIVE,"Morphometric subset n=188: tube-length effect on robbery intensity estimate=1.98, z=4.34, p<0.0001, OR≈7.27 per 1 SD; diameter p=0.29. Predicted robbery probability rose from ~0.02 to >0.99 along observed length gradient.",NO,"One plant species; no multispecies visitor×plant network.",DIRECT_SUPPORT,"Kalanchoe pinnata in Galápagos; robbers Xylocopa darwinii and Geospiza scandens."
Castro_Silveira_Navarro_2009,2009,10.1007/s11284-008-0481-5,Insecta,"1 plant species; 3 populations",population_observational,"flower size / correlated corolla traits","robbing frequency",MIXED,"Positive correlations between flower size and robbing frequency occurred in one of three populations; the relation was not consistently recovered across populations.",NO,"One plant species; no multispecies visitor×plant mismatch network.",DIRECT_MIXED,"Polygala vayredae; population-specific geometry effect retained rather than collapsed to positive."
Stanley_Cosnett_2021,2021,10.26786/1920-7603(2021)620,Insecta,"1 plant species; multiple Irish populations",flower_observational,"flower size","whether a flower was nectar robbed",POSITIVE,"Robbed Fuchsia magellanica flowers were significantly larger than unrobbed flowers (GLMM F1,568=44.35, p<0.0001); only shorter-tongued bumblebee species were observed robbing.",NO,"One plant species; not a multispecies visitor×plant mismatch network.",DIRECT_SUPPORT,"Direct flower-level geometry test in a naturalised population."
Coetzee_et_al_2026,2026,10.1111/1365-2435.70276,Insecta,"12 bird-pollinated Erica species; 27 populations",multi_population_observational,"corolla length with floral conspicuousness and stickiness covariates","population nectar-robbing rate",OPPOSITE,"In the primary LMM, robbing rate was significantly negatively related to corolla length (t=-2, p=0.04); when conspicuousness was replaced by discriminability metrics, no predictors were significant.",NO,"Population-level plant trait model lacks the frozen visitor×plant mechanical mismatch and route-balance estimand.",DIRECT_OPPOSITE,"Important boundary-condition case: longer corollas can reduce robbery in a mechanically defensive Erica context; model-sensitivity caveat retained."
Carrio_Guemes_2019,2019,10.1080/17550874.2019.1615146,Insecta,"1 plant species; multiple populations",population_observational,"flower size among populations","nectar-robbing occurrence / percentage of robbed flowers",NULL,"Population differences in flower size were evaluated against Bombus terrestris robbing; the study reported no relation between flower size and robbery.",NO,"One plant species; no multispecies visitor×plant mismatch network.",DIRECT_NULL,"Recovered from the outcome-independent Leal historical frame rather than the original targeted discovery search."
Valdivia_Carroza_Orellana_2016,2016,10.1016/j.flora.2016.09.010,Insecta,"1 plant species across a broad Patagonian geographic range",multi_population_observational,"petal length coupled to Bombus terrestris glossa length","probability / incidence of primary nectar robbing",POSITIVE,"Petal length coupled to robber glossa length played a pivotal role in the probability of Fuchsia magellanica flowers experiencing primary nectar robbing; geographic coordinates/elevation did not explain the pattern.",NO,"One plant species; no frozen multispecies visitor×plant mismatch network.",DIRECT_SUPPORT,"Geometry-specific update/gap-fill discovery; independent of the standardized Letter networks."
Irwin_Adler_2006,2006,10.3732/ajb.93.1.64,Insecta,"1 plant species; 5 field populations",multi_population_observational,"corolla length/width, petal length/width, pistil-stamen protrusion","plant-level nectar-robbing level",NULL,"MANCOVA/ANCOVA tests found no significant effect of measured floral morphology on nectar robbing; corolla length F=1.71, corolla width F=0.47, petal length F=0.16, petal width F=0.14, protrusion F=0.45.",NO,"One plant species and no multispecies visitor×plant mismatch network.",DIRECT_NULL,"Gelsemium sempervirens; Stage-U recovery from a morphology-by-robbing analysis rather than a fitness-consequence study."
Irwin_Warren_Carper_Adler_2014,2014,10.1007/s00442-013-2797-2,Insecta,"1 plant species across replicated suburban and wild sites",multi_site_observational,"corolla tube length and petal-lobe width","proportion of flowers nectar robbed",POSITIVE,"Across site types, plants with longer corolla tubes received more robbing (F1,315=5.80, p=0.02), and narrower petal lobes also received more robbing (F1,315=5.34, p=0.02).",NO,"One plant species and no multispecies visitor×plant mismatch network.",DIRECT_SUPPORT,"Gelsemium sempervirens; independent field dataset from the 2006 five-population survey and later common-garden experiment."
Adler_Leege_Irwin_2016,2016,10.3732/ajb.1600114,Insecta,"1 plant species; reciprocal common gardens in north and south Georgia",common_garden,"corolla length/width, petal length/width and related floral size/shape traits","proportion of flowers robbed and Xylocopa robber visitation",NULL,"Northern genotypes were more resistant to robbery, but Xylocopa visitation was unrelated to floral size; authors concluded plant height and flower number were more important than floral size or shape for resistance.",NO,"One plant species and no multispecies visitor×plant mismatch network.",DIRECT_NULL,"Gelsemium sempervirens reciprocal common-garden dataset; retained as a direct null for the geometry component."
RodriguezPena_Wolfe_2023,2023,10.1016/j.flora.2023.152418,Insecta,"5 Penstemon species",multi_species_observational,"flower size / floral morphology","nectar-robbing occurrence",NULL,"Across five Penstemon species, nectar robbing was not correlated with flower size, although robbery was associated with premature wilting.",NO,"Plant-species comparison does not provide the frozen visitor×plant mismatch and route-balance network estimand.",DIRECT_NULL,"Stage-U recovery; retained as a direct multispecies null rather than omitted from the supporting corpus."
