study_cluster_id,D_axis_id,context_id,antagonist_outcome_type,antagonist_effect_direction,antagonist_uncertainty_class,pollinator_outcome_type,pollinator_response_stage,pollinator_effect_direction,pollinator_uncertainty_class,pollinator_cost_state,source_supported_preservation,source_inference,outcome_basis_path
Catalpa_1982,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,reward_consumption,suppressed,DIRECTION_SUPPORTED,reward_consumption,consumption,no_detected_change,NULL_COMPATIBLE,NO_DETECTED_CHANGE,false,strong thief suppression; legitimate pollinator consumption estimate near zero,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md
Pedicularis_2015,water_filled_bract,seed_predator_vs_robber_pollinator,seed_predation,suppressed,DIRECTION_SUPPORTED,legitimate_pollinator_visitation,arrival,no_detected_change,NULL_COMPATIBLE,NO_DETECTED_CHANGE,false,seed predation strongly reduced; robbers bypass barrier; pollinator visitation null-compatible,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md
Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,robbed_flower_fraction,suppressed,DIRECTION_SUPPORTED,pollinia_transfer_and_fruit_set,function,improved,DIRECTION_SUPPORTED,PRESERVED_OR_IMPROVED,true,robbery strongly reduced while legitimate pollinia transfer and fruit set increased,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md
Codonopsis_2021,slippery_wax_surface,ants_vs_hornet_pollinator,ant_entry,suppressed,DIRECTION_SUPPORTED,direct_D_to_pollination,not_measured_directly,unresolved,UNRESOLVED,UNRESOLVED,false,slippery surfaces reduce ant entry; pollinator foothold geometry is described but direct D-to-pollination effect is not identified,empirical/mechanism_pattern_synthesis/PHYSICAL_GEOMETRY_SELECTIVITY_AUDIT_V1.md
Chrysothemis_2007,water_calyx,preanthesis_moth_vs_postanthesis_pollination,moth_oviposition_and_infestation,suppressed,DIRECTION_SUPPORTED,direct_D_to_pollination,not_measured_directly,unresolved,UNRESOLVED,UNRESOLVED,false,water calyx reduces preanthesis moth attack; temporal separation from pollination is mechanistic context rather than a direct pollinator effect,empirical/mechanism_pattern_synthesis/CHRYSOTHEMIS_TEMPORAL_PHYSICAL_SELECTIVITY_AUDIT_V1.md
Bejaria_2022,floral_stickiness,florivores_vs_insect_mutualists,florivore_damage,suppressed,DIRECTION_SUPPORTED,direct_D_to_pollination,not_measured_directly,unresolved,UNRESOLVED,UNRESOLVED,false,stickiness removal increases florivory; primary source states pollination cost needs a different experiment,empirical/mechanism_pattern_synthesis/BEJARIA_2022_FLORAL_STICKINESS_AUDIT_V1.md
Polemonium_2011,2PE_chemical,moderate_vs_high_dose,antagonist_use,suppressed,DIRECTION_SUPPORTED,pollinator_visitation_and_pollination,dose_transition,mixed,DIRECTION_SUPPORTED,MIXED,false,moderate expression has no detected pollination cost while high expression reduces bumblebee visitation and pollination,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Aconitum_2017,nectar_alkaloids,robber_vs_legitimate_pollinator_dose,robber_consumption,suppressed,DIRECTION_SUPPORTED,pollinator_visitation,dose_transition,mixed,DIRECTION_ONLY,MIXED,false,robber deterrence occurs at lower exposure than strong pollinator interference; common threshold ratio is not identified,empirical/mechanism_pattern_synthesis/ACONITUM_2017_SELECTIVITY_WINDOW_AUDIT_V1.md
Asclepias_program,cardenolides,single_bout_vs_extended_exposure,oviposition,suppressed,DIRECTION_SUPPORTED,pollinator_foraging,exposure_duration,mixed,DIRECTION_SUPPORTED,MIXED,false,short pollinator exposure is null-compatible while extended exposure produces deterrence; oviposition is reduced,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Gelsemium_program,gelsemine,robber_and_pollinators_high_dose,robber_use,suppressed,DIRECTION_SUPPORTED,pollinator_use_and_male_function,high_dose,impaired,DIRECTION_SUPPORTED,IMPAIRED,false,high gelsemine deters robbers and most pollinators and reduces a male-reproduction proxy,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Nicotiana_2007,nectar_repellent,pollinator_response_stage,ant_visitation,suppressed,DIRECTION_SUPPORTED,pollinator_visit_handling_and_consumption,response_stage,mixed,DIRECTION_SUPPORTED,MIXED,false,repellents reduce ant visitation and pollinator handling or consumption but visit number can increase,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Salvia_boundary,calyx_barrier_candidate,nectar_robber_bypass,robber_visitation,no_detected_change,NULL_COMPATIBLE,direct_D_to_pollination,not_measured_directly,unresolved,UNRESOLVED,UNRESOLVED,false,robber can bypass the candidate barrier and the focal antagonist-reduction channel is weak or null,empirical/mechanism_pattern_synthesis/PHYSICAL_SELECTIVITY_REPLICATION_AND_BOUNDARY_V1.md
