system,layer,target,evidence_status,implementation_status,empirical_execution_status,claim_ceiling,next_gate
GENERAL_BITA,theory,functional_differentiation_framework,THEORY_RECOVERED,IMPLEMENTED,NOT_APPLICABLE,theory_only,none
GENERAL_BITA,analysis,state_specific_dimensional_release,NOT_EMPIRICAL,IMPLEMENTED,NOT_YET_EXECUTED,outcome_level_release_only,positive_SCH_receipt_plus_x_y_surface
GENERAL_BITA,analysis,pure_function_dimensional_release,NOT_EMPIRICAL,IMPLEMENTED,NOT_YET_EXECUTED,pure_release_only_if_SCH_z_F1_exported,positive_pure_function_SCH_upgrade
Pedicularis_rex,real_world,functional_water_defence_state,CAUSAL_FUNCTION_RECOVERED_FROM_PRIMARY_EXPERIMENT,IMPLEMENTED,NOT_YET_REPLICATED_IN_BITA_CONTEXT,functional_y_state_not_structural_trait,replicate_y_selectivity_same_context
Pedicularis_rex,chapter2_functional_state,x_optimum_release_under_water_defence,SHARED_CONFLICT_AND_Y_FUNCTION_RECOVERED,IMPLEMENTED,NOT_YET_EXECUTED,functional_state_dimensional_release_if_positive,positive_Pedicularis_SCH_receipt_then_x_by_y_surface
Pedicularis_rex,chapter2_structural_y,repeatable_water_retention_coordinate,STRUCTURAL_MEASUREMENTS_RECOVERED_IN_LITERATURE,IMPLEMENTED,NOT_YET_EXECUTED,contemporary_structural_performance_coordinate_only,measure_repeatable_retention_capacity_or_duration
Pedicularis_rex,chapter2_structural_y,preferential_loading_after_controlling_x,NOT_YET_RECOVERED,IMPLEMENTED,NOT_YET_EXECUTED,trait_level_preferential_loading_if_positive,structural_y_field_dataset
Pedicularis_rex,chapter2_mechanism,x_y_P_G_mechanism_allocation,CONSTITUENT_FUNCTIONS_RECOVERED,GENERAL_16_CELL_MACHINERY_IMPLEMENTED,NOT_YET_EXECUTED,mechanism_resolved_partial_modularity_only,positive_D1_D2_then_crossed_mechanism_design
Nicotiana_attenuata,real_world,A_x_D_reproductive_release_anchor,POSITIVE_AGGREGATE_SIGN_RECOVERED,IMPLEMENTED,EXISTING_SOURCE_DESIGN_UNCERTAINTY,interaction_level_release_not_complete_differentiation,resolve_source_design_uncertainty_and_close_loading
Petunia,real_world,component_function_partitioning,RECOVERED_FROM_PRIMARY_LITERATURE,NOT_APPLICABLE,EXISTING_EXPERIMENT,component_differentiation_not_full_fitness_release,common_fitness_and_cross_loading_test
GENERAL_BITA,history,ancestral_shared_to_differentiated_transition,NOT_IDENTIFIED,NOT_IMPLEMENTED,NOT_YET_EXECUTED,historical_modularization_not_identified,phylogenetic_developmental_transition_evidence
