stage,layer,target,status,evidence_ceiling,next_gate
T1,theory,architecture_nesting_and_recoverable_loss,STRUCTURAL_RESULT_ESTABLISHED_UNDER_DECLARED_ASSUMPTIONS,not_empirical_differentiation,T2
T2,theory,quadratic_R_equals_sL,EXACT_QUADRATIC_RESULT_PROVED,quadratic_bridge_only,T3
T3,theory,general_and_multi_residual_coupling_recovery,MONOTONICITY_CONVEXITY_PATH_INTEGRABILITY_OPTIMAL_DECOUPLING_BUDGET_DUALITY_FINITE_GAIN_SECOND_ORDER_METRIC_UNCERTAIN_PARAMETER_BOX_CONSTRAINED_ALLOCATION_FULL_DECOUPLING_REACHABILITY_DECOUPLING_COST_RESCUE_JOINT_INTERVENTION_ALLOCATION_FIXED_RAY_MONOTONE_CONVEX_CRITICALITY_THREE_POINT_THRESHOLD_REFINEMENT_JOINT_SHARED_REGION_CONVEXITY_AND_STRONG_CONVEX_SHARED_CHORD_SAG_THEOREMS_PROVED,common_twice_differentiable_convex_feasible_set nonnegative_penalties zero_on_shared_subspace valid_simultaneous_parameter_bounds declared_intervention_costs registered_full_coupling_box additive_independent_K_relief weighted_L1_design_geometry fixed_K_when_claimed fixed_feasible_decoupling_direction ordered_three_point_margin_samples satisfying_monotone_convex_secant_conditions additive_K_coordinate_with_common_convex_coupling_domain_for_joint_region_claims and valid_strong_convexity_bounds_over_registered_chords_when_quantitative_sag_is_claimed,T4
T4,theory,criticality_joint_robustness_and_nonquadratic_scope,CRITICAL_SURFACE_JOINT_COUPLING_COST_ROBUSTNESS_CERTIFIED_CROSSING_TWO_SIDED_CRITICAL_BUDGET_PARTIAL_IDENTIFICATION_FEASIBLE_SATURATION_GLOBAL_REACHABILITY_RESIDUAL_COST_RELIEF_INTERVAL_CERTIFIED_JOINT_BUDGET_FRONTIER_UNIQUE_RAY_THRESHOLD_CONVEX_SECANT_REFINED_THRESHOLD_BRACKETING_SHARED_CHORD_HIDDEN_BITA_EXCLUSION_AND_QUANTITATIVE_SHARED_BASIN_RESULTS_IMPLEMENTED,declared_global_convex_or_curvature_bounded_model feasible_constrained_interventions full_box_curvature_bounds additive_cost_relief declared_intervention_prices fixed_K_along_ray shape_valid_three_level_sampling matched_joint_coupling_cost_chords and strong_convex_chord_bounds not_arbitrary_landscapes,T5
T5,theory,net_gain_decomposition_identifiability,NET_GAP_IDENTIFIES_DIFFERENCE_NOT_COMPONENTS,direct_DeltaW_does_not_separate_R_and_K,C0
C0,causal,frozen_SCH_reference,INTERFACE_IMPLEMENTED_EMPIRICAL_REFERENCE_PENDING,state_specific_reference_not_automatically_pure,C1
C1,causal,x_x_y_dimensional_release,ANALYZER_IMPLEMENTED_EMPIRICAL_EXECUTION_PENDING,functional_state_release_if_positive,C2
C2,causal,preferential_functional_loading,ANALYZER_AND_EQUIVALENCE_LOGIC_IMPLEMENTED_NOT_YET_EXECUTED_IN_FOCAL_CHAIN,loading_not_structural_independence,C3
C3,causal,registered_fitness_consequence,ANALYZER_IMPLEMENTED_EMPIRICAL_EXECUTION_PENDING,within_surface_gain_not_K,C4
C4,causal,mechanism_allocation,GENERAL_MECHANISM_DESIGN_IMPLEMENTED_FRAGMENTED_EMPIRICAL_EVIDENCE,channel_specific_contemporary_mechanism,C5
C5,causal,independent_architecture_cost_K,INTERFACE_AND_GUARDS_IMPLEMENTED_EMPIRICAL_K_RARELY_IDENTIFIED,no_K_from_kappa_or_within_surface_gain,G0
G0,generality,Pedicularis_same_system_causal_differentiation,PREFERRED_ROUTE_NOT_YET_EXECUTED,existence_not_universality,G1
G1,generality,floral_mechanism_replication,BROAD_FRAGMENTED_EVIDENCE_COMPLETE_CAUSAL_REPLICATION_INCOMPLETE,route_coverage_not_complete_proofs,G2
G2,generality,cross_domain_partial_differentiation,CROSS_DOMAIN_EXPERIMENTAL_AND_ARCHITECTURE_ANCHORS_PRESENT_PARAMETER_REPLICATION_INCOMPLETE,anchors_not_parameter_estimates,G3
G3,generality,negative_and_boundary_cases,BOUNDARY_CASE_PROGRAM_PARTIALLY_RECOVERED_SYSTEMATIC_EXECUTION_INCOMPLETE,no_universality_claim_without_failures,none
